,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,punta arenas,-53.15,-70.9167,3.01,87.0,40.0,9.77,CL,1661482797.0
1,mackenzie,55.2999,-123.1698,23.24,51.0,22.0,1.88,CA,1661482815.0
2,prince rupert,54.3161,-130.3201,14.05,100.0,100.0,3.09,CA,1661482961.0
3,belushya guba,,,,,,,,
4,taburi,,,,,,,,
5,faanui,-16.4833,-151.75,24.64,75.0,65.0,6.07,PF,1661482962.0
6,attawapiskat,,,,,,,,
7,tuktoyaktuk,69.4541,-133.0374,9.01,98.0,92.0,3.73,CA,1661482963.0
8,victoria,22.2855,114.1577,32.76,82.0,99.0,4.92,HK,1661482955.0
9,mataura,-46.1927,168.8643,12.49,45.0,0.0,0.19,NZ,1661482964.0
10,east london,,,,,,,,
11,dingle,,,,,,,,
12,tambun,,,,,,,,
13,chuy,,,,,,,,
14,georgetown,,,,,,,,
15,kaitangata,,,,,,,,
16,saint-pierre,,,,,,,,
17,boddam,,,,,,,,
18,rabo de peixe,,,,,,,,
19,rikitea,,,,,,,,
20,khatanga,,,,,,,,
21,san quintin,,,,,,,,
22,marzuq,,,,,,,,
23,kalmar,,,,,,,,
24,pulandian,,,,,,,,
25,hithadhoo,,,,,,,,
26,praia,,,,,,,,
27,grindavik,,,,,,,,
28,umzimvubu,,,,,,,,
29,sentyabrskiy,,,,,,,,
30,cape town,,,,,,,,
31,mudyuga,,,,,,,,
32,barentsburg,,,,,,,,
33,beloit,,,,,,,,
34,torbay,,,,,,,,
35,letka,,,,,,,,
36,aklavik,,,,,,,,
37,sorvag,,,,,,,,
38,ribeira grande,,,,,,,,
39,kodiak,,,,,,,,
40,bredasdorp,,,,,,,,
41,taolanaro,,,,,,,,
42,ilulissat,,,,,,,,
43,ushuaia,,,,,,,,
44,hobart,,,,,,,,
45,puerto ayora,,,,,,,,
46,castro,,,,,,,,
47,butaritari,,,,,,,,
48,gummidipundi,,,,,,,,
49,palabuhanratu,,,,,,,,
50,pokosnoye,,,,,,,,
51,itaituba,,,,,,,,
52,vaini,,,,,,,,
53,kattivakkam,,,,,,,,
54,airai,,,,,,,,
55,port elizabeth,,,,,,,,
56,yulara,,,,,,,,
57,denau,,,,,,,,
58,albany,,,,,,,,
59,liptovsky hradok,,,,,,,,
60,mar del plata,,,,,,,,
61,bluff,,,,,,,,
62,cherskiy,,,,,,,,
63,san patricio,,,,,,,,
64,whitehorse,,,,,,,,
65,kapaa,,,,,,,,
66,vila velha,,,,,,,,
67,esperance,,,,,,,,
68,lomza,,,,,,,,
69,qaanaaq,,,,,,,,
70,yunjinghong,,,,,,,,
71,saint george,,,,,,,,
72,namibe,,,,,,,,
73,asau,,,,,,,,
74,marfino,,,,,,,,
75,atuona,,,,,,,,
76,carnarvon,,,,,,,,
77,talnakh,,,,,,,,
78,quatre cocos,,,,,,,,
79,nikolskoye,,,,,,,,
80,nakamura,,,,,,,,
81,lockport,,,,,,,,
82,callaguip,,,,,,,,
83,smithers,,,,,,,,
84,samusu,,,,,,,,
85,pisco,,,,,,,,
86,watertown,,,,,,,,
87,hermanus,,,,,,,,
88,comodoro rivadavia,,,,,,,,
89,bernay,,,,,,,,
90,dzilam gonzalez,,,,,,,,
91,mamallapuram,,,,,,,,
92,ngukurr,,,,,,,,
93,ondjiva,,,,,,,,
94,kashi,,,,,,,,
95,halmstad,,,,,,,,
96,belaya gora,,,,,,,,
97,jamestown,,,,,,,,
98,shingu,,,,,,,,
99,fairbanks,,,,,,,,
100,hasaki,,,,,,,,
101,celestun,,,,,,,,
102,rockport,,,,,,,,
103,tsihombe,,,,,,,,
104,bambous virieux,,,,,,,,
105,sitka,,,,,,,,
106,busselton,,,,,,,,
107,tasiilaq,,,,,,,,
108,provideniya,,,,,,,,
109,arraial do cabo,,,,,,,,
110,port alfred,,,,,,,,
111,puerto madryn,,,,,,,,
112,clyde river,,,,,,,,
113,maningrida,,,,,,,,
114,mahaicony,,,,,,,,
115,hit,,,,,,,,
116,norman wells,,,,,,,,
117,pontal do parana,,,,,,,,
